Windgeschwindigkeit;Windrichtung;Temperatur;relative Feuchte;Niederschlag;Luftdruck;Strahlung
0.0;270;22.2;75.2;0.0;1007.8;2.5
0.6;191;22.2;75.1;0.0;1007.8;2.5
0.9;202;22.2;75.2;0.0;1007.8;2.4
1.3;225;22.3;75.1;0.0;1007.8;2.7
1.3;202;22.3;74.9;0.0;1007.8;2.7
1.2;225;22.3;74.7;0.0;1007.8;2.8
0.9;191;22.3;74.6;0.0;1007.8;2.8
1.8;202;22.4;74.6;0.0;1007.8;2.7
1.7;191;22.4;74.4;0.0;1007.8;2.7
1.3;202;22.4;74.4;0.0;1007.9;2.7
0.8;225;22.4;74.4;0.0;1007.9;2.7
0.9;225;22.4;74.4;0.0;1007.9;2.7
1.0;157;22.4;74.3;0.0;1007.9;2.7
1.0;202;22.4;74.4;0.0;1007.9;2.7
1.0;168;22.4;74.5;0.0;1007.9;2.5
1.3;180;22.4;74.4;0.0;1007.8;2.5
1.2;157;22.4;74.4;0.0;1007.9;2.5
1.1;180;22.4;74.5;0.0;1007.8;2.4
1.0;191;22.4;74.6;0.0;1007.9;2.4
0.6;168;22.4;74.7;0.0;1007.8;2.5
1.0;236;22.4;74.8;0.0;1007.9;2.4
0.8;180;22.3;74.8;0.0;1007.9;2.4
0.8;168;22.3;74.9;0.0;1007.9;2.4
1.0;225;22.3;75.0;0.0;1007.9;2.5
0.8;180;22.3;75.0;0.0;1007.8;2.4
0.6;202;22.3;75.1;0.0;1007.9;2.4
0.0;67;22.3;75.0;0.0;1007.8;2.3
0.8;225;22.3;75.2;0.0;1007.9;2.4
0.8;213;22.3;75.2;0.0;1007.8;2.5
1.0;236;22.2;75.3;0.0;1007.9;2.5
1.4;247;22.2;75.4;0.0;1007.9;2.5
1.0;225;22.2;75.3;0.0;1007.9;2.7
0.6;247;22.2;75.3;0.0;1007.9;2.5
0.9;247;22.2;75.4;0.0;1007.9;2.7
0.9;270;22.2;75.4;0.0;1007.9;2.5
0.8;247;22.2;75.5;0.0;1007.9;2.4
1.0;258;22.2;75.5;0.0;1007.9;2.5
1.0;247;22.2;75.6;0.0;1007.9;2.4
0.9;202;22.2;75.7;0.0;1007.9;2.5
0.9;191;22.2;75.7;0.0;1007.9;2.7
0.7;270;22.2;75.7;0.0;1007.9;2.5
0.9;202;22.2;75.8;0.0;1008.0;2.4
0.9;213;22.2;75.7;0.0;1008.0;2.5
0.4;225;22.2;75.7;0.0;1008.0;2.5
0.7;202;22.2;75.8;0.0;1008.0;2.4
1.1;135;22.2;75.8;0.0;1008.1;2.5
1.4;157;22.2;75.6;0.0;1008.0;2.7
1.3;180;22.1;75.8;0.0;1008.1;2.5
1.5;157;22.1;76.0;0.0;1008.0;2.4
1.8;180;22.0;76.3;0.0;1008.1;2.4
1.8;191;21.9;76.6;0.0;1008.1;2.4
1.6;180;21.9;76.9;0.0;1008.1;2.3
1.2;168;21.8;77.1;0.0;1008.1;2.4
1.2;168;21.8;77.2;0.0;1008.1;2.4
1.3;168;21.8;77.3;0.0;1008.1;2.4
1.3;180;21.7;77.4;0.0;1008.1;2.4
1.0;146;21.7;77.6;0.0;1008.1;2.5
1.0;213;21.7;77.7;0.0;1008.1;2.4
1.0;168;21.7;77.8;0.0;1008.2;2.4
1.4;180;21.7;77.9;0.0;1008.2;2.4
1.2;157;21.6;78.0;0.0;1008.2;2.3
1.2;168;21.6;78.2;0.0;1008.1;2.4
1.0;180;21.6;78.2;0.0;1008.2;2.4
0.8;157;21.6;78.3;0.0;1008.1;2.4
1.2;157;21.6;78.4;0.0;1008.1;2.5
1.0;191;21.5;78.5;0.0;1008.2;2.5
1.1;180;21.5;78.6;0.0;1008.2;2.5
1.4;225;21.5;78.7;0.0;1008.1;2.5
1.0;180;21.5;78.7;0.0;1008.1;2.7
0.8;180;21.5;78.8;0.0;1008.1;2.7
1.1;146;21.5;78.8;0.0;1008.1;2.7
1.3;247;21.5;78.9;0.0;1008.1;2.7
1.1;225;21.5;79.0;0.0;1008.1;2.7
1.2;225;21.5;79.0;0.0;1008.1;2.7
0.6;180;21.5;79.1;0.0;1008.1;2.7
0.8;225;21.5;79.1;0.0;1008.1;2.7
0.9;191;21.5;79.1;0.0;1008.2;2.7
0.6;202;21.5;79.1;0.0;1008.2;2.7
0.6;213;21.5;79.1;0.0;1008.2;2.5
0.6;236;21.5;79.1;0.0;1008.2;2.7
0.5;270;21.5;79.1;0.0;1008.1;2.7
0.9;213;21.5;79.0;0.0;1008.2;2.7
1.0;225;21.5;79.0;0.0;1008.2;2.7
1.2;225;21.5;79.1;0.0;1008.2;2.7
1.0;236;21.5;79.1;0.0;1008.2;2.7
0.7;236;21.5;79.1;0.0;1008.3;2.7
0.9;236;21.5;79.2;0.0;1008.2;2.5
0.6;225;21.5;79.3;0.0;1008.3;2.7
1.0;225;21.5;79.3;0.0;1008.3;2.7
0.7;247;21.5;79.3;0.0;1008.3;2.7
1.0;225;21.5;79.3;0.0;1008.2;2.8
0.6;236;21.5;79.3;0.0;1008.2;2.7
0.8;247;21.5;79.3;0.0;1008.2;2.7
1.0;225;21.5;79.3;0.0;1008.2;2.7
0.6;135;21.5;79.3;0.0;1008.2;2.7
0.6;258;21.5;79.3;0.0;1008.2;2.7
0.9;225;21.5;79.2;0.0;1008.2;2.8
0.6;258;21.5;79.2;0.0;1008.2;2.7
1.0;247;21.5;79.2;0.0;1008.2;2.8
0.9;258;21.5;79.3;0.0;1008.2;2.7
0.5;213;21.5;79.3;0.0;1008.2;2.7
0.7;213;21.5;79.4;0.0;1008.2;2.7
0.7;225;21.5;79.3;0.0;1008.2;2.7
0.6;168;21.5;79.3;0.0;1008.2;2.8
0.9;236;21.5;79.3;0.0;1008.2;2.7
1.0;213;21.5;79.5;0.0;1008.2;2.7
0.7;236;21.5;79.4;0.0;1008.2;2.7
0.6;270;21.5;79.4;0.0;1008.2;2.7
0.7;202;21.5;79.5;0.0;1008.2;2.7
1.0;202;21.5;79.3;0.0;1008.2;2.7
1.3;213;21.4;79.4;0.0;1008.2;3.0
0.6;146;21.4;79.4;0.0;1008.2;2.8
1.0;213;21.4;79.5;0.0;1008.2;2.7
0.6;191;21.4;79.5;0.0;1008.1;2.7
1.2;168;21.4;79.6;0.0;1008.1;2.7
1.0;213;21.4;79.6;0.0;1008.1;2.8
1.0;213;21.4;79.7;0.0;1008.1;2.7
0.9;191;21.4;79.7;0.0;1008.1;2.7
1.4;213;21.4;79.7;0.0;1008.1;2.7
1.3;213;21.4;79.8;0.0;1008.1;2.7
1.0;213;21.4;79.9;0.0;1008.0;2.7
1.2;247;21.3;80.0;0.0;1008.1;2.7
1.4;191;21.3;80.1;0.0;1008.1;2.7
1.4;213;21.3;80.2;0.0;1008.1;2.7
1.1;258;21.3;80.2;0.0;1008.1;2.7
0.8;225;21.3;80.3;0.0;1008.1;2.7
1.1;213;21.3;80.3;0.0;1008.1;2.7
0.9;213;21.3;80.3;0.0;1008.2;2.5
1.0;157;21.3;80.4;0.0;1008.2;2.7
1.3;236;21.3;80.4;0.0;1008.1;2.7
0.9;213;21.3;80.5;0.0;1008.1;2.7
1.7;202;21.2;80.5;0.0;1008.1;2.5
1.7;225;21.2;80.6;0.0;1008.1;2.7
0.7;191;21.2;80.6;0.0;1008.1;2.7
1.5;225;21.2;80.8;0.0;1008.1;2.7
1.7;213;21.2;80.8;0.0;1008.1;2.7
1.3;236;21.2;80.9;0.0;1008.1;2.7
2.2;202;21.2;80.8;0.0;1008.1;2.7
1.1;236;21.2;80.8;0.0;1008.0;2.7
1.3;258;21.2;80.8;0.0;1008.1;2.7
1.0;202;21.2;80.8;0.0;1008.0;2.7
1.5;225;21.2;80.9;0.0;1008.0;2.7
2.1;213;21.2;81.0;0.0;1008.0;2.5
1.0;225;21.2;81.0;0.0;1008.0;2.7
0.7;180;21.1;81.0;0.0;1008.0;2.5
1.8;191;21.1;81.1;0.0;1008.0;2.5
1.5;202;21.1;81.2;0.0;1008.0;2.5
1.0;225;21.1;81.2;0.0;1008.0;2.7
1.6;213;21.1;81.1;0.0;1008.0;2.7
1.9;213;21.1;81.1;0.0;1008.0;2.7
0.6;157;21.2;81.1;0.0;1008.0;2.7
1.2;225;21.1;81.1;0.0;1008.0;2.5
0.5;247;21.2;81.0;0.0;1008.0;2.5
1.1;236;21.1;81.0;0.0;1008.0;2.4
0.9;202;21.2;81.0;0.0;1008.1;2.4
0.6;168;21.1;81.1;0.0;1008.1;2.5
0.8;236;21.2;81.1;0.0;1008.1;2.7
0.7;191;21.2;81.0;0.0;1008.1;2.7
1.2;292;21.2;81.0;0.0;1008.0;2.5
0.7;213;21.2;81.1;0.0;1008.1;2.4
0.8;168;21.1;81.1;0.0;1008.0;2.3
0.6;168;21.1;81.0;0.0;1008.1;2.4
0.6;157;21.1;81.0;0.0;1008.0;2.4
0.6;168;21.1;81.1;0.0;1008.1;2.5
0.4;247;21.0;81.1;0.0;1008.1;2.3
0.8;213;21.0;81.4;0.0;1008.1;2.3
0.9;247;21.0;81.6;0.0;1008.1;2.4
0.9;303;21.0;81.7;0.0;1008.1;2.5
0.9;191;20.9;81.9;0.0;1008.1;2.5
1.3;258;20.9;81.9;0.0;1008.1;2.7
1.5;258;20.9;82.0;0.0;1008.1;2.5
1.3;225;20.9;82.1;0.0;1008.1;2.5
1.3;225;20.8;82.3;0.0;1008.1;2.5
1.0;225;20.8;82.5;0.0;1008.1;2.7
0.9;236;20.8;82.6;0.0;1008.1;2.5
1.0;180;20.7;82.7;0.0;1008.2;2.5
1.0;168;20.7;82.8;0.0;1008.1;2.7
0.9;202;20.7;82.9;0.0;1008.2;2.7
0.6;225;20.7;82.9;0.0;1008.2;2.5
1.3;247;20.7;82.9;0.0;1008.2;2.7
1.1;225;20.7;83.0;0.0;1008.2;2.5
0.8;270;20.7;83.0;0.0;1008.2;2.7
1.1;270;20.7;83.0;0.0;1008.2;2.7
0.6;146;20.7;83.1;0.0;1008.2;2.7
1.0;236;20.6;83.1;0.0;1008.2;2.7
1.2;258;20.6;83.2;0.0;1008.2;2.7
1.2;258;20.6;83.3;0.0;1008.2;2.7
1.0;225;20.6;83.4;0.0;1008.2;2.7
1.2;213;20.6;83.4;0.0;1008.2;2.7
1.0;202;20.6;83.4;0.0;1008.2;2.7
0.4;202;20.6;83.5;0.0;1008.2;2.7
0.6;180;20.6;83.5;0.0;1008.2;2.7
0.0;202;20.6;83.4;0.0;1008.2;2.5
0.4;33;20.6;83.3;0.0;1008.2;2.5
0.8;202;20.6;83.4;0.0;1008.2;2.4
0.9;225;20.6;83.4;0.0;1008.3;2.7
0.8;247;20.6;83.4;0.0;1008.2;2.7
0.8;135;20.6;83.5;0.0;1008.3;2.7
0.9;270;20.6;83.5;0.0;1008.2;2.7
1.0;247;20.6;83.5;0.0;1008.3;2.7
1.0;225;20.5;83.6;0.0;1008.2;2.7
1.3;225;20.5;83.6;0.0;1008.3;2.7
1.0;213;20.5;83.7;0.0;1008.3;2.7
0.9;157;20.5;83.7;0.0;1008.3;2.7
1.1;258;20.5;83.7;0.0;1008.3;2.7
1.0;225;20.5;83.8;0.0;1008.3;2.7
1.1;225;20.5;83.8;0.0;1008.3;2.7
0.8;202;20.5;83.9;0.0;1008.3;2.7
0.5;168;20.5;83.9;0.0;1008.3;2.7
0.6;202;20.5;83.9;0.0;1008.3;2.7
0.5;180;20.5;84.0;0.0;1008.3;2.5
0.6;202;20.5;84.0;0.0;1008.4;2.7
0.0;123;20.5;83.9;0.0;1008.4;2.7
1.0;135;20.4;83.8;0.0;1008.4;2.5
0.9;157;20.4;83.9;0.0;1008.4;2.7
0.7;157;20.4;83.8;0.0;1008.4;2.5
0.5;157;20.4;83.8;0.0;1008.4;2.5
1.0;202;20.4;83.9;0.0;1008.4;2.5
0.7;191;20.4;84.0;0.0;1008.4;2.4
0.6;157;20.4;84.2;0.0;1008.4;2.5
0.9;157;20.4;84.1;0.0;1008.4;2.5
0.6;213;20.3;84.2;0.0;1008.5;2.7
0.8;202;20.3;84.3;0.0;1008.4;2.5
0.0;281;20.3;84.3;0.0;1008.4;2.7
0.0;180;20.3;84.2;0.0;1008.4;2.5
0.7;225;20.3;84.3;0.0;1008.4;2.5
0.6;157;20.3;84.4;0.0;1008.4;2.7
0.5;213;20.3;84.4;0.0;1008.5;2.7
0.4;236;20.3;84.4;0.0;1008.5;2.7
0.0;112;20.3;84.4;0.0;1008.5;2.4
0.0;180;20.3;84.4;0.0;1008.5;2.5
1.0;157;20.3;84.5;0.0;1008.5;2.5
0.7;168;20.3;84.5;0.0;1008.5;2.7
1.0;191;20.3;84.6;0.0;1008.5;2.7
0.9;157;20.3;84.6;0.0;1008.5;2.7
1.0;180;20.2;84.6;0.0;1008.5;2.7
1.3;157;20.2;84.5;0.0;1008.5;2.7
0.9;180;20.2;84.7;0.0;1008.5;2.7
0.6;180;20.2;84.8;0.0;1008.6;2.5
0.9;146;20.1;85.0;0.0;1008.5;2.5
0.8;180;20.1;85.1;0.0;1008.5;2.5
0.8;146;20.1;85.2;0.0;1008.5;2.7
0.6;168;20.1;85.2;0.0;1008.5;2.7
0.4;146;20.1;85.1;0.0;1008.5;2.7
0.9;168;20.1;85.1;0.0;1008.5;2.7
0.9;135;20.0;85.1;0.0;1008.5;2.7
0.8;157;20.0;85.2;0.0;1008.5;2.5
0.9;157;20.0;85.4;0.0;1008.5;2.4
0.5;135;20.0;85.5;0.0;1008.5;2.5
0.7;157;19.9;85.5;0.0;1008.5;2.5
0.7;168;19.9;85.7;0.0;1008.5;2.5
0.6;168;19.9;85.7;0.0;1008.5;2.4
0.6;180;19.8;85.9;0.0;1008.5;2.4
0.6;157;19.8;86.0;0.0;1008.5;2.4
0.7;157;19.8;86.0;0.0;1008.5;2.5
0.7;146;19.7;86.2;0.0;1008.6;2.5
0.7;168;19.7;86.3;0.0;1008.5;2.5
0.9;180;19.7;86.5;0.0;1008.6;2.5
0.7;168;19.7;86.5;0.0;1008.6;2.5
0.7;168;19.7;86.7;0.0;1008.6;2.4
0.8;168;19.6;86.8;0.0;1008.6;2.5
0.6;236;19.6;86.9;0.0;1008.6;2.7
0.4;146;19.6;87.0;0.0;1008.6;2.7
0.8;168;19.6;87.0;0.0;1008.6;2.7
0.5;213;19.6;87.1;0.0;1008.6;2.7
0.4;135;19.6;87.2;0.0;1008.6;2.7
0.4;191;19.6;87.2;0.0;1008.6;2.7
0.8;168;19.6;87.3;0.0;1008.6;2.7
0.6;191;19.6;87.4;0.0;1008.6;2.7
0.6;180;19.6;87.3;0.0;1008.6;2.7
0.7;225;19.6;87.2;0.0;1008.6;2.8
0.6;191;19.6;87.2;0.0;1008.6;2.8
0.5;225;19.6;87.2;0.0;1008.6;3.0
0.8;191;19.6;87.1;0.0;1008.6;2.8
0.6;202;19.6;87.1;0.0;1008.6;3.0
0.6;168;19.6;87.2;0.0;1008.6;2.8
0.6;180;19.6;87.1;0.0;1008.6;2.7
0.7;191;19.6;87.0;0.0;1008.7;2.7
1.1;168;19.6;87.1;0.0;1008.7;2.7
0.7;157;19.6;87.0;0.0;1008.7;2.8
1.3;180;19.6;87.1;0.0;1008.7;2.8
1.0;168;19.6;87.0;0.0;1008.8;2.8
0.9;135;19.6;87.1;0.0;1008.7;2.7
0.5;157;19.6;87.2;0.0;1008.7;2.7
0.8;180;19.5;87.1;0.0;1008.7;2.8
1.3;168;19.5;87.2;0.0;1008.7;2.7
1.2;157;19.5;87.2;0.0;1008.7;2.7
1.0;191;19.5;87.3;0.0;1008.7;2.7
1.3;135;19.4;87.5;0.0;1008.7;2.7
0.9;146;19.4;87.6;0.0;1008.7;2.7
0.9;168;19.4;87.7;0.0;1008.7;2.7
0.6;180;19.4;87.7;0.0;1008.7;2.8
1.2;191;19.4;87.8;0.0;1008.7;2.8
1.1;180;19.4;88.0;0.0;1008.7;3.0
0.9;191;19.3;88.0;0.0;1008.7;2.8
0.6;168;19.3;88.2;0.0;1008.7;3.0
1.0;191;19.3;88.2;0.0;1008.7;3.1
1.2;168;19.3;88.3;0.0;1008.7;3.1
1.0;202;19.3;88.3;0.0;1008.7;3.3
0.9;236;19.3;88.4;0.0;1008.7;3.4
1.5;225;19.3;88.4;0.0;1008.7;3.5
0.8;202;19.3;88.4;0.0;1008.7;3.8
1.2;168;19.3;88.4;0.0;1008.8;3.8
1.0;213;19.3;88.5;0.0;1008.7;4.0
1.1;146;19.3;88.4;0.0;1008.7;4.1
1.0;180;19.3;88.4;0.0;1008.8;4.2
0.9;180;19.3;88.3;0.0;1008.8;4.4
1.5;157;19.3;88.3;0.0;1008.8;4.5
1.4;180;19.3;88.3;0.0;1008.8;4.7
1.0;157;19.2;88.3;0.0;1008.8;4.8
1.0;180;19.2;88.5;0.0;1008.8;4.9
0.7;202;19.2;88.4;0.0;1008.8;5.2
1.3;202;19.2;88.4;0.0;1008.8;5.5
0.9;191;19.2;88.4;0.0;1008.9;5.7
1.1;202;19.2;88.5;0.0;1008.8;5.8
1.0;180;19.2;88.6;0.0;1008.8;6.1
0.9;168;19.2;88.7;0.0;1008.9;6.4
1.2;202;19.2;88.8;0.0;1008.8;6.8
1.1;180;19.2;88.9;0.0;1008.9;7.2
1.0;191;19.2;88.7;0.0;1008.9;7.5
1.1;180;19.2;88.8;0.0;1008.9;7.8
1.3;168;19.2;88.8;0.0;1008.8;8.1
1.3;157;19.2;88.8;0.0;1008.9;8.5
0.8;157;19.2;88.8;0.0;1008.9;8.9
0.9;146;19.2;88.9;0.0;1008.8;9.6
0.6;180;19.2;88.9;0.0;1008.8;10.3
0.9;180;19.2;88.8;0.0;1008.8;11.2
0.8;157;19.2;88.8;0.0;1008.8;11.9
1.3;180;19.1;88.8;0.0;1008.8;12.4
0.9;180;19.1;88.9;0.0;1008.9;13.1
0.9;180;19.1;88.9;0.0;1008.9;13.6
0.9;157;19.1;89.1;0.0;1008.9;14.3
1.2;180;19.2;88.9;0.0;1008.9;15.1
0.9;191;19.2;88.9;0.0;1008.9;15.8
0.9;112;19.2;88.7;0.0;1008.8;16.8
1.1;157;19.2;88.8;0.0;1008.8;17.8
0.9;180;19.2;88.7;0.0;1008.8;18.5
0.8;191;19.2;88.5;0.0;1008.8;19.4
1.0;135;19.2;88.5;0.0;1008.9;20.4
1.5;191;19.3;88.4;0.0;1008.8;21.6
0.9;157;19.3;88.4;0.0;1008.9;23.0
1.0;202;19.3;88.3;0.0;1008.8;24.2
0.7;180;19.3;88.2;0.0;1008.9;25.2
0.7;157;19.3;88.1;0.0;1008.9;26.3
1.2;213;19.4;88.0;0.0;1008.9;27.4
1.0;258;19.4;88.0;0.0;1008.9;29.0
0.8;202;19.4;88.0;0.0;1008.9;30.1
0.6;135;19.5;87.8;0.0;1008.9;31.4
0.6;281;19.5;87.8;0.0;1008.9;33.2
1.1;191;19.5;87.6;0.0;1008.9;34.6
1.0;157;19.6;87.6;0.0;1008.9;36.2
1.0;213;19.6;87.4;0.0;1008.9;37.7
0.9;123;19.6;87.3;0.0;1008.9;39.4
0.8;225;19.7;87.1;0.0;1008.9;41.3
0.7;225;19.7;87.0;0.0;1008.9;43.1
1.7;213;19.8;86.8;0.0;1008.9;44.9
1.8;213;19.8;86.6;0.0;1008.9;46.6
1.2;270;19.9;86.6;0.0;1009.0;48.6
1.4;168;19.9;86.5;0.0;1009.0;50.2
1.2;225;19.9;86.2;0.0;1009.0;51.4
1.5;191;20.0;86.2;0.0;1009.0;53.1
1.3;180;20.0;85.9;0.0;1009.0;55.5
